Question,Name,Intent,Scientific_name,Answer
"Tôi bị tác dụng ngoại tháp của thuốc, triệu chứng là gì, do đâu, và chữa thế nào?",tác dụng ngoại tháp của thuốc,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Extrapyramidal Effect of Drugs,"Triệu chứng: Cứng cơ, run, cử động không tự chủ. Điều trị: Điều chỉnh liều thuốc, chuyển sang thuốc thay thế. Nguyên nhân: Tác dụng phụ của thuốc chống loạn thần"
Bệnh to đầu chi gây ra dấu hiệu gì và tại sao lại thế?,to đầu chi (acromegaly),"['Triệu chứng', 'Nguyên nhân']",Acromegaly,"Triệu chứng: Phát triển quá mức của mặt, tay, chân; to nội tạng; đau khớp, mệt mỏi. Nguyên nhân: Tăng sản hormone tăng trưởng do u tuyến yên, có thể có yếu tố di truyền"
"Bệnh hạ cam mềm làm tôi đau, tại sao lại thế?",hạ cam mềm,['Nguyên nhân'],Chancroid,Nhiễm vi khuẩn Haemophilus ducreyi
"Cơ thể tôi yếu khi bị von willebrand, nên ăn gì để khỏe lại?",von willebrand,['Điều trị'],Von Willebrand Disease,"Thuốc Desmopressin (DDAVP), liệu pháp thay thế bằng yếu tố Von Willebrand (VWF) cô đặc hoặc cryoprecipitate, thuốc tránh thai đường uống (đối với phụ nữ có kỳ kinh nặng), tránh một số loại thuốc, chăm sóc răng miệng cẩn thận, theo dõi y tế định kỳ"
Bị phát ban do tiếp xúc với thực vật thì có triệu chứng gì và nguyên nhân là gì?,phát ban do tiếp xúc với thực vật,"['Triệu chứng', 'Nguyên nhân']",Contact Dermatitis (do thực vật),"Triệu chứng: Da đỏ, sưng, ngứa, có mụn nước hoặc phồng rộp tại vùng tiếp xúc. Nguyên nhân: Phản ứng dị ứng với hóa chất tự nhiên (ví dụ: urushiol từ cây thường xanh như poison ivy)"
Bị nhồi máu cơ tim thì có cách nào bớt khó chịu không?,nhồi máu cơ tim,['Điều trị'],Myocardial Infarction,"thuốc tiêu huyết khối (alteplase), chống kết tập tiểu cầu (aspirin, clopidogrel), nitrate, chẹn beta (bisoprolol), statin, can thiệp đặt stent hoặc phẫu thuật bắc cầu mạch vành;"
"Tôi bị lang ben và thấy mệt, có cần đi bác sĩ không?",lang ben,['Triệu chứng'],Molluscum contagiosum,"Nốt tròn, nhỏ, màu da với lõm trung tâm, không đau nhưng có tính lây lan cao"
"Tôi bị đau do ung thư thực quản, đó là bệnh gì và chữa ra sao?",ung thư thực quản,"['Triệu chứng', 'Điều trị']",Esophageal Cancer,"Triệu chứng: Khó nuốt, giảm cân không chủ ý, đau ngực, khàn giọng. Điều trị: Phẫu thuật, hóa trị, xạ trị, liệu pháp nhắm mục tiêu, liệu pháp miễn dịch, chăm sóc giảm nhẹ, thử nghiệm lâm sàng"
"Tôi bị ung thư vú, tôi muốn biết tại sao, những cách điều trị của bệnh.",ung thư vú,"['Nguyên nhân', 'Điều trị']",Breast Cancer,"Nguyên nhân: Tăng trưởng bất thường của tế bào vú. Điều trị: Phẫu thuật (cắt bỏ khối u hoặc cắt bỏ vú), xạ trị, hóa trị, liệu pháp hormone, liệu pháp nhắm mục tiêu"
"Bệnh rối loạn nhai lại làm tôi mệt, có cách nào phục hồi không?",rối loạn nhai lại,['Điều trị'],Rumination Disorder,"Liệu pháp hành vi (như kỹ thuật thở cơ hoành), phản hồi sinh học, giải quyết các tình trạng tâm lý hoặc y tế cơ bản, điều chỉnh chế độ ăn"
