question,intent,entity,answer
thoái hóa khớp,Triệu chứng,osteoarthritis,"đau buốt, sưng viêm và giảm khả năng vận động"
thoái hóa khớp,Điều trị,osteoarthritis,"thuốc giảm đau NSAIDs (meloxicam, celecoxib), glucosamine, tiêm acid hyaluronic nội khớp, vật lý trị liệu, giảm cân, thay khớp nếu nặng;"
thoái hóa khớp,Nguyên nhân,osteoarthritis,"lão hóa, chấn thương, vận động quá sức hoặc do và áp lực quá lớn từ trọng lượng cơ thể."
viêm khớp,Triệu chứng,arthritis,"đau, sưng đỏ và cứng khớp"
viêm khớp,Điều trị,arthritis,"NSAIDs (diclofenac, ibuprofen), corticosteroids (prednisolone), thuốc điều trị cơ bản nếu viêm khớp dạng thấp (methotrexate), vật lý trị liệu;"
viêm khớp,Nguyên nhân,arthritis,"tổn thương màng sụn, nhiễm trùng, chấn thương, di truyền và lão hóa"
viêm khớp dạng thấp,Triệu chứng,rheumatoid arthritis,"người bệnh đau nhức và sưng viêm ở cả hai khớp đối xứng nhau trên cơ thể, ví dụ như cả hai đầu gối hoặc hai cổ tay."
viêm khớp dạng thấp,Điều trị,rheumatoid arthritis,"thuốc DMARDs (methotrexate, leflunomide), corticosteroids (prednisolone), NSAIDs (meloxicam), sinh học (etanercept, adalimumab) nếu kháng trị, kết hợp vật lý trị liệu;"
viêm khớp dạng thấp,Nguyên nhân,rheumatoid arthritis,"do sự kết hợp của các yếu tố di truyền, hormone và tác nhân từ môi trường"
Loãng xương,Triệu chứng,osteoporosis,"Bệnh này thường tiến triển âm thầm, không có dấu hiệu rõ ràng cho đến khi người bệnh bị gãy xương hoặc có biểu hiện chậm phát triển thể chất (thấp lùn, gầy cọc, nhẹ cân)."
Loãng xương,Điều trị,osteoporosis,"bổ sung canxi và vitamin D, bisphosphonates (alendronate, risedronate), thuốc ức chế hủy xương (denosumab), tập luyện chịu lực nhẹ nhàng, thay đổi lối sống;"
Loãng xương,Nguyên nhân,osteoporosis,"do lão hóa, rối loạn hấp thu dinh dưỡng, chế độ ăn uống thiếu khoa học, hút thuốc lá và lạm dụng thuốc."
Gãy xương,Triệu chứng,Fracture,"đau đột ngột tại chỗ gãy, sưng, bầm tím, khiến xương bị xô lệch và không thể vận động như thường"
Gãy xương,Điều trị,Fracture,"nắn chỉnh – bất động bằng bột hoặc nẹp, phẫu thuật kết hợp xương nếu gãy phức tạp, giảm đau (paracetamol, NSAIDs), phục hồi chức năng sau khi liền xương;"
Gãy xương,Nguyên nhân,Fracture,"do tác động trực tiếp như sau một cú ngã, va chạm mạnh hoặc các tác động gián tiếp như xoắn cơ đột ngột. Bên cạnh đó, một số bệnh lý khiến xương suy yếu (loãng xương, nhuyễn xương,…) cũng làm tăng nguy cơ gãy xương."
gout (bệnh gút),Triệu chứng,Gout,"đau dữ dội, sưng, nóng, đỏ tại khớp (thường khớp ngón chân cái), xuất hiện đột ngột, đặc biệt về đêm, có thể tái phát thành từng đợt;"
gout (bệnh gút),Điều trị,Gout,"colchicine, NSAIDs (indomethacin, naproxen), corticosteroids (prednisolone), thuốc hạ acid uric máu (allopurinol, febuxostat), thay đổi chế độ ăn uống và lối sống;"
gout (bệnh gút),Nguyên nhân,Gout,"chế độ ăn giàu thịt đỏ, hải sản, rượu bia, hoặc do sự suy giảm bài tiết axit uric qua thận (suy thận). Bên cạnh đó, gen di truyền và thói quen lạm dụng một số loại thuốc cũng có thể tăng nguy cơ mắc bệnh gút."
Thoát vị đĩa đệm,Triệu chứng,Herniated Disc,"đau cục bộ, tê bì, yếu cơ tay chân hoặc đau lan tỏa theo đường dây thần kinh"
Thoát vị đĩa đệm,Điều trị,Herniated Disc,"nghỉ ngơi, vật lý trị liệu, thuốc giảm đau NSAIDs (etoricoxib, celecoxib), giãn cơ (eperisone), tiêm corticoid ngoài màng cứng, phẫu thuật nếu chèn ép nặng;"
Thoát vị đĩa đệm,Nguyên nhân,Herniated Disc,"do tổn thương từ việc nâng vật nặng quá sức, lão hóa, ngồi sai tư thế hoặc chấn thương. Bệnh này thường gặp ở người làm việc văn phòng, lao động nặng hoặc vận động viên."
gai cột sống,Triệu chứng,spondylosis,"ê buốt, tê các bộ phận ở cột sống hoặc tạo thành những cơn đau lan dọc dây thần kinh, làm suy yếu tay chân."
gai cột sống,Điều trị,spondylosis,"thuốc giảm đau NSAIDs (meloxicam, celecoxib), giãn cơ (tolperisone), vật lý trị liệu, xoa bóp, kéo giãn cột sống, phẫu thuật nếu chèn ép nặng;"
gai cột sống,Nguyên nhân,spondylosis,"do đĩa đệm bị mất nước, co lại, gây áp lực lên xương và kích thích gai xương tăng trưởng."
Lupus ban đỏ hệ thống,Triệu chứng,SLE,"mệt mỏi, đau khớp, sưng khớp, ban đỏ trên da, đặc biệt là vết ban hình cánh bướm trên mũi và má"
Lupus ban đỏ hệ thống,Điều trị,SLE,"corticosteroids (prednisolone), thuốc ức chế miễn dịch (azathioprine, mycophenolate mofetil, cyclophosphamide), thuốc chống sốt rét (hydroxychloroquine), theo dõi biến chứng;"
Lupus ban đỏ hệ thống,Nguyên nhân,SLE,"do di truyền, môi trường (ánh nắng, thuốc lá, hóa chất,…) và sự mất cân bằng nội tiết tố."
Ung thư xương,Triệu chứng,Bone Cancer,"đau nhức xương, mệt mỏi, sụt cân, sờ thấy nốt sưng hoặc khối u cứng ở vị trí ung thư."
Ung thư xương,Điều trị,Bone Cancer,"phẫu thuật cắt bỏ khối u, hóa trị (doxorubicin, cisplatin, methotrexate), xạ trị (với Ewing sarcoma), thuốc giảm đau, phục hồi chức năng sau điều trị;"
Ung thư xương,Nguyên nhân,Bone Cancer,"phơi nhiễm tia phóng xạ, mắc bệnh di truyền, lạm dụng dược phẩm, rượu bia hoặc thuốc lá."
Đau thần kinh tọa,Triệu chứng,Sciatica,"đau buốt, tê từ mông xuống đùi, bắp chân và có thể lan đến bàn chân. Cơn đau thường chỉ xảy ra ở một bên."
Đau thần kinh tọa,Điều trị,Sciatica,"nghỉ ngơi, vật lý trị liệu, thuốc giảm đau NSAIDs (naproxen, etoricoxib), giãn cơ (eperisone), tiêm ngoài màng cứng corticoid, phẫu thuật nếu chèn ép nặng;"
Đau thần kinh tọa,Nguyên nhân,Sciatica,"do thoát vị đĩa đệm. Bên cạnh đó, thừa cân – béo phì, tuổi tác cao và ngồi một chỗ quá lâu cũng là những tác nhân có thể làm tăng nguy cơ mắc bệnh."
cơ xương khớp do chấn thương,Triệu chứng,Musculoskeletal Injuries,"xô lệch, viêm, đau, sưng, đứt gãy một phần hoặc toàn bộ cơ / gân / dây chằng / xương."
cơ xương khớp do chấn thương,Điều trị,Musculoskeletal Injuries,"bất động, chườm lạnh, thuốc giảm đau NSAIDs (ibuprofen, diclofenac), giãn cơ (tolperisone), phẫu thuật nếu gãy/trật nghiêm trọng, phục hồi chức năng sau chấn thương;"
cơ xương khớp do chấn thương,Nguyên nhân,Musculoskeletal Injuries,"các khớp, cơ, gân, dây chằng bị tổn thương sau tai nạn hoặc do va đập mạnh / đột ngột trong hoạt động thể thao."
Tràn dịch khớp,Triệu chứng,joint effusion,"đau nhức khớp, cảm giác căng tức, hạn chế vận động, có thể đỏ nóng vùng khớp;"
